Survey_number,Sex,School_code,Teacher_code,Library_me,Museum_me,Scouts_me,National_Parks_me,Afterschool_me,Talk_me,Summer_camp_me,Hike_outdoors_me,Garden_me,Experiments_me,Read_me,Internet_me,Computer_me,TV_me,Build_me,Library_encourage,Museum_encourage,Scouts_encourage,National_park_encourage,Afterschool_encourage,Talk_encourage,Summer_camps_encourage,Hike_outdoors_encourage,Garden_encourage,Experiment_encourage,Read_encourage,Internet_encourage,Computer_encourage,TV_encourage,Build_encourage,Stars_planets,mix_materials,Weather,Human_body,Traits,Dinosaurs,Fish_hunt,Earthquakes,Instruments,Diseases,Dangerous_plants_animals,Planets_space,Buildings_bridges,Eat_exercise,Engines,Rocks_minerals,Computers_cell_phones,Puzzels_math,Food_flowers,Maps,Invent,Community_green,Pets,Earth_space_5,Human_bio_5,Tech_eng_5
82,0,Sacramento,Klansnic,2,2,1,2,5,4,1,2,2,1,3,2,2,2,2,2111,1121,1112,2111,2111,1112,2111,2111,2111,1112,2111,1112,1112,1112,1112,2,3,1,2,1,1,4,1,1,4,2,1,1,1,1,1,1,1,1,5,5,4,5,0.0625,0.0833333333333325,0.333333333333332
83,1,Sacramento,Klansnic,2,3,1,3,2,4,1,3,4,5,5,5,5,3,2,1112,1112,1112,2111,2111,2111,2111,2111,2111,1112,1112,2111,1112,1222,1112,2,5,1,2,4,2,5,2,2,4,2,2,2,4,2,4,5,4,5,2,5,4,5,0.1875,0.583333333333332,0.583333333333332
84,1,Sacramento,Klansnic,3,2,1,4,5,4,5,5,5,5,4,5,5,4,5,2111,1112,1112,2111,1111,2111,1112,1112,1112,1112,1121,1112,1112,2111,1112,4,5,1,4,4,2,5,5,5,5,3,3,3,4,5,4,5,4,5,5,5,5,5,0.5625,0.75,0.875
85,0,Sacramento,Klansnic,2,3,2,4,2,5,3,4,4,4,3,4,2,3,5,2111,1121,2111,1112,1112,1112,2111,1121,2111,1112,1211,1112,1112,1112,1112,5,5,2,3,1,4,2,1,1,1,3,5,5,3,1,4,5,5,2,1,5,3,1,0.5625,0.333333333333332,0.625
86,1,Sacramento,Klansnic,4,2,1,3,2,5,1,5,3,4,2,2,4,1,4,1112,1112,1111,1112,1111,1112,1111,2111,1111,1112,1112,1112,2112,1111,1112,2,5,3,2,2,5,1,5,5,4,5,5,2,5,2,5,5,NA,2,5,5,2,5,0.6875,0.5,0.75
87,1,Sacramento,Klansnic,2,2,1,2,2,3,1,3,2,3,2,3,2,2,2,2111,1111,1111,1111,2111,2111,1111,1111,1111,1111,2111,1111,2111,1211,1211,2,4,2,2,4,1,1,2,1,1,1,2,2,4,1,2,3,4,3,3,3,4,4,0.25,0.583333333333332,0.333333333333332
88,1,Sacramento,Klansnic,4,2,1,3,4,3,1,5,2,5,4,5,4,2,4,1112,1211,2111,2111,2111,2111,2111,1211,1112,2111,1112,2111,1112,2111,1112,2,4,1,4,2,4,1,4,1,4,4,2,1,4,1,1,4,2,4,4,2,5,5,0.3125,0.583333333333332,0.291666666666668
90,1,Sacramento,Klansnic,3,2,2,2,5,3,1,3,2,1,2,2,4,1,4,2111,1121,1112,1121,2111,1211,2111,2111,2111,2111,2111,2111,1112,2111,1112,1,1,1,1,2,1,2,1,2,1,2,1,1,1,1,2,2,1,2,1,3,1,5,0,0.0833333333333325,0.166666666666668
91,0,Sacramento,Klansnic,3,2,1,3,2,3,1,4,3,4,4,5,5,4,2,2111,1112,1111,2111,1112,2111,1211,2111,2111,2111,1211,1112,1112,2111,2111,4,3,4,2,1,4,2,4,3,4,4,4,3,4,1,2,4,5,3,2,4,4,5,0.75,0.333333333333332,0.416666666666668
93,1,Prescott,Renee,2,3,1,5,3,4,2,5,5,3,4,5,5,3,4,1112,1211,1121,2111,1112,1121,2111,2111,2111,1211,1211,2111,2111,1121,1211,4,5,4,5,5,2,5,4,2,5,2,4,2,5,4,2,4,2,5,2,5,4,4,0.75,1,0.541666666666668
