Survey_number,Sex,School_code_2,Science_teacher_8,Library_me_8,OMSI_me_8,Zoo_me_8,Child_museum_me_8,Scouts_me_8,Program_me_8,National_parks_me_8,Team_sport_me_8,Own_sport_me_8,Summer_camp_me_8,Hike_outdoors_me_8,Garden_me_8,Experiments_me_8,Read_me_8,Internet_me_8,Computer_me_8,Communicate_me_8,TV_me_8,Build_me_8,Pets_me_8,Library_encourage,OMSI_encourage,Zoo_encourage,Childrens_encourage,Scouts_encourage,Other_after_encourage,National_park_encourage,Team_sport_encourage,Sport_encourage,Summer_camps_encourage,Hike_outdoors_encourage,Garden_encourage,Experiment_encourage,Read_encourage,Internet_encourage,Computer_games_encourage,Communicate_encourage,TV_encourage,Build_encourage,Pets_encourage,Stars_planets_8,Mix_materials_8,Weather_8,Human_body_8,Traits_passed_8,Sudoku_math_8,Fish_hunt_8,Earthquakes_volcanoes_8,Measure_size_8,Diseases_8,Play_Minecraft_8,Exploring_space_8,Buildings_bridges_8,Eat_exercise_8,Gas_diesel_8,Rocks_minerals_8,Comuters_cell_phones_8,Grow_food_8,Use_maps_8,Design_games_8,Community_green_8,Make_shapes_8,Solve_puzzles_8,Earth_space_8,Human_bio_8,Tech_eng_8,Math_8
4e+07,1,Parkrose MS,2,3,1,1,1,1,4,2,1,1,1,4,2,1,4,4,4,5,2,2,1,2111,1111,1111,1111,1111,1111,1111,1111,1111,1111,2111,2111,1111,1112,1112,1112,1111,1112,1112,1111,3,5,3,5,3,1,NA,2,NA,5,2,1,2,5,2,NA,3,5,5,3,5,3,3,0.3125,0.833333333333333,0.5,0.333333333333332
4.1e+07,1,Parkrose MS,1,2,1,1,1,1,5,1,5,2,2,2,2,1,4,1,5,5,1,1,1,1111,1111,1111,1111,1111,1111,1111,1121,1111,1111,1112,1211,1121,1211,1121,1121,1111,1211,1121,1211,5,4,4,4,4,3,NA,3,3,4,3,3,3,3,4,NA,2,3,3,3,3,2,2,0.6875,0.666666666666668,0.5,0.375
4.2e+07,1,NA,3,5,1,2,1,1,1,2,1,4,1,3,5,3,5,3,4,5,3,5,1,1112,1111,1111,1111,1111,1111,1111,1112,1111,1111,1111,2111,1112,1112,1112,1111,1111,1112,1112,1111,5,5,1,4,1,3,NA,3,1,5,2,5,2,2,4,NA,2,2,2,1,3,2,2,0.625,0.333333333333332,0.3,0.25
4.4e+07,1,Parkrose MS,2,2,1,2,1,1,2,2,3,3,1,2,3,1,5,5,5,5,2,2,5,1112,1111,1111,1111,1111,1111,1111,1112,1111,1111,1111,2111,1111,1112,1112,1112,1111,1111,1111,1112,5,5,3,4,4,3,NA,2,1,5,4,5,3,3,2,NA,5,3,1,5,3,2,3,0.6875,0.666666666666668,0.55,0.3125
4.6e+07,1,Parkrose MS,2,4,1,1,1,1,1,1,1,1,1,5,5,1,5,5,1,5,1,5,1,1112,1111,1111,1111,1111,1111,1111,1111,1111,1111,1112,1112,1111,1112,1112,1111,1111,1111,1112,1111,4,5,3,5,3,1,NA,4,2,1,1,3,1,1,1,NA,1,1,1,4,2,1,1,0.625,0.5,0.15,0.0625
4.8e+07,1,NA,2,3,1,1,1,1,1,1,1,3,1,3,1,2,2,4,4,3,2,3,1,2111,1111,1111,1111,1111,1111,1111,1111,1111,1111,1112,1111,1112,1112,1112,1112,1111,1111,1112,1111,4,4,3,3,3,1,NA,4,3,2,2,3,3,3,3,NA,4,2,3,4,3,4,4,0.625,0.5,0.6,0.5
4.9e+07,1,NA,3,4,2,2,2,4,4,1,1,5,1,4,4,3,5,4,4,5,4,2,3,2111,1111,1111,1111,1121,1111,1111,1111,1111,1111,2111,2111,1121,1112,2111,1121,1111,2111,2111,2111,5,5,3,3,3,4,NA,3,3,3,3,5,4,5,3,NA,4,5,4,5,5,3,3,0.75,0.666666666666668,0.75,0.5625
5.1e+07,0,Parkrose MS,1,2,1,1,1,4,2,3,4,3,2,3,2,1,3,3,5,5,4,4,5,1112,1111,1111,1111,1112,1111,1111,2111,1111,1111,1121,1111,1111,1112,1112,1112,1111,1112,1112,1112,3,3,2,2,2,1,NA,2,2,1,4,3,2,5,2,NA,5,1,4,4,3,2,3,0.375,0.5,0.6,0.25
5.2e+07,0,NA,3,1,2,2,1,1,3,2,4,1,1,2,2,1,5,2,4,3,4,2,2,1111,1111,1111,1111,1111,1111,1111,2111,1111,1111,2111,2111,1111,1111,1112,2111,1111,1112,2111,2111,5,5,5,3,3,4,NA,5,3,5,5,5,5,2,3,NA,5,4,3,4,3,3,3,1,0.416666666666668,0.75,0.5625
5.6e+07,1,Parkrose MS,2,4,1,1,1,1,3,2,3,4,2,5,4,3,3,5,5,5,2,2,5,2111,1111,1111,1111,1121,1111,1111,1211,1111,1111,2111,2111,1121,1211,2111,1112,1111,1211,1121,2111,4,4,4,4,4,4,NA,4,4,0,4,3,4,3,3,NA,3,4,3,3,4,3,2,0.6875,0.666666666666668,0.55,0.5625
5.8e+07,0,Parkrose MS,2,3,2,2,1,1,3,2,1,1,1,3,1,2,3,4,5,5,5,5,5,2111,1111,1111,1111,1111,1111,1111,1111,1111,1111,1112,1111,1111,2111,1121,1121,1111,1112,1112,1112,4,3,3,2,2,5,NA,2,4,3,5,4,4,2,4,NA,4,3,3,5,3,5,5,0.5625,0.25,0.75,0.9375
6e+07,0,Parkrose MS,3,2,1,2,1,1,4,1,1,5,1,1,1,1,2,2,5,5,2,1,1,1112,1111,1111,1111,1111,1111,1111,1111,1111,1111,1111,1111,1111,1112,1112,1112,1111,1112,1111,1111,5,4,4,5,5,2,NA,5,2,5,5,5,2,5,4,NA,4,2,2,2,2,2,2,0.9375,1,0.45,0.25
7.1e+07,1,Parkrose MS,2,3,2,2,1,1,1,2,1,5,1,5,5,5,3,4,3,5,2,3,3,2211,1111,1111,1111,1111,1111,1111,2121,1111,1111,2211,2111,2211,2111,1112,1112,1111,1112,2111,2211,5,5,5,5,5,4,NA,4,3,5,1,5,4,3,1,NA,4,5,5,5,5,5,5,0.9375,0.833333333333333,0.7,0.8125
8.1e+07,1,Parkrose MS,1,5,1,1,1,1,1,2,5,2,1,5,1,1,1,1,5,5,5,1,5,1112,1111,1111,1111,1111,1111,1111,2122,1111,1111,1112,1111,1111,1111,1111,1212,1111,1112,1111,2222,3,5,1,5,4,5,NA,5,1,5,3,2,1,5,1,NA,5,1,3,4,3,4,5,0.4375,0.916666666666667,0.45,0.6875
8.4e+07,1,NA,1,1,1,1,1,1,5,1,5,5,1,1,1,1,3,4,5,5,1,1,5,1111,1111,1111,1111,1111,1111,1111,2221,1111,1111,1122,1111,1111,1111,1111,1112,1111,1111,1111,1112,4,1,1,1,1,1,NA,1,1,1,1,4,1,5,1,NA,1,1,NA,3,4,1,1,0.375,0.333333333333332,0.125,0
8.6e+07,1,Parkrose MS,2,2,1,2,1,1,1,2,1,2,1,3,1,1,5,2,4,2,2,3,1,1112,1111,1111,1111,1111,1111,1111,1111,1111,1111,2111,1111,1111,1112,1112,1112,1111,1112,1112,1111,2,4,2,4,3,5,NA,2,4,4,1,1,2,4,2,NA,2,4,3,4,4,5,5,0.1875,0.666666666666668,0.4,0.9375
8.7e+07,1,Parkrose MS,1,1,1,2,2,1,4,1,3,4,1,4,1,1,1,3,5,5,1,3,3,1111,1111,1111,1111,1111,1111,1111,1121,1111,1111,1111,1111,1111,2111,1112,1112,1111,1111,1112,1112,3,4,4,5,4,4,NA,4,3,4,3,4,4,5,4,NA,3,4,4,3,4,2,4,0.6875,0.916666666666667,0.65,0.5625
8.9e+07,0,NA,1,3,2,2,2,2,3,3,5,5,5,4,4,2,4,2,4,4,4,4,4,1111,1111,1111,1111,1111,1111,1111,1112,1111,1111,1112,2111,1111,2111,1111,1112,1111,1112,1112,1111,4,4,4,4,4,4,NA,4,4,4,4,4,4,4,4,NA,4,4,4,4,4,4,4,0.75,0.75,0.75,0.75
9.1e+07,0,Parkrose MS,1,2,2,1,1,1,1,1,4,5,1,3,1,1,2,4,5,4,3,2,4,2111,1111,1111,1111,1111,1111,1111,1211,1111,1111,2111,1111,2111,1112,1112,1112,1111,1112,2111,1211,4,5,4,4,4,1,NA,4,2,4,1,4,4,4,3,NA,2,3,4,3,4,2,2,0.75,0.75,0.55,0.1875
9.6e+07,1,Parkrose MS,1,5,1,1,1,4,5,1,2,3,1,5,1,1,5,3,5,5,3,3,5,1112,1111,1111,1111,1121,1111,1111,1121,1111,1111,2111,1111,1111,1112,1112,1121,1111,1112,1112,1112,5,5,5,4,4,5,NA,5,4,5,5,5,3,5,3,NA,5,5,5,5,5,5,5,1,0.833333333333333,0.8,0.9375
9.7e+07,1,Parkrose MS,3,2,1,2,1,1,1,1,2,2,1,2,2,1,3,2,5,5,1,1,2,1211,1111,1111,1111,1111,1111,1111,1211,1111,1111,1112,2111,1111,1112,1112,1112,1111,1111,1111,1112,3,5,3,3,3,3,NA,4,3,4,4,3,2,3,2,NA,3,2,3,4,3,3,3,0.5625,0.5,0.45,0.5
9.8e+07,1,NA,2,1,1,1,1,1,1,1,2,4,1,3,3,1,2,2,5,5,2,1,5,1111,1111,1111,1111,1111,1111,1111,1121,1111,1111,1211,2111,1111,1112,1112,1112,1111,1111,1111,1112,3,5,3,1,3,1,NA,1,1,3,1,2,2,5,5,NA,3,3,3,3,3,3,1,0.3125,0.5,0.55,0.125
1e+08,0,Parkrose MS,2,1,1,1,1,1,1,1,1,1,1,2,2,1,1,4,5,5,2,1,1,1111,1111,1111,1111,1111,1111,1111,1111,1111,1111,2111,2111,1111,1111,1112,1112,1111,1111,1111,1111,4,3,2,4,3,3,NA,4,2,4,3,5,5,4,2,NA,4,3,3,4,3,3,3,0.6875,0.666666666666668,0.65,0.4375
1.03e+08,1,Parkrose MS,1,3,2,2,1,1,3,2,5,5,3,4,4,1,5,4,3,5,4,2,5,2112,1111,1111,1111,1111,1111,1111,2212,1111,1111,2111,2112,1211,2212,1112,1221,1111,2112,2211,2112,4,5,1,4,5,4,NA,4,4,5,1,5,4,5,3,NA,5,4,3,5,5,3,1,0.625,0.916666666666667,0.75,0.5
1.14e+08,1,Parkrose MS,2,1,1,1,1,1,1,2,5,2,1,2,1,1,1,2,3,5,2,1,5,1111,1111,1111,1111,1111,1111,1111,1112,1111,1111,1111,1111,1111,1111,1111,1112,1111,1111,1111,2111,3,5,1,3,4,4,NA,1,1,4,3,4,3,5,1,NA,2,2,2,4,2,3,3,0.3125,0.75,0.35,0.4375
1.15e+08,0,Parkrose MS,3,3,1,1,1,1,1,2,1,4,1,3,3,1,1,5,5,5,1,1,1,1112,1111,1111,1111,1111,1111,1111,1111,1111,1111,2111,2111,1111,1111,1112,1112,1111,1111,1111,1111,5,5,4,5,5,2,NA,5,3,5,1,4,1,5,2,NA,5,5,5,1,4,1,1,0.875,1,0.45,0.1875
1.17e+08,1,Parkrose MS,3,3,2,2,1,2,2,2,2,1,2,4,1,2,5,5,4,5,4,2,5,1111,1111,1111,1111,1121,1111,1111,1112,1111,1111,1112,1111,1112,1112,1112,1112,1111,1112,1112,1112,5,4,3,2,4,4,NA,4,4,2,5,5,3,3,2,NA,4,3,3,5,5,5,4,0.8125,0.5,0.6,0.8125
1.2e+08,0,Parkrose MS,1,4,1,1,1,1,1,2,2,2,1,2,1,1,3,1,4,5,1,3,1,1112,1111,1111,1111,1111,1111,1111,1112,1111,1111,1112,1111,1111,1112,1111,1121,1111,1111,1112,1111,5,5,4,4,4,5,NA,5,4,4,4,5,5,5,5,NA,5,3,4,5,5,4,4,0.9375,0.833333333333333,0.95,0.8125
1.23e+08,0,Parkrose MS,NA,4,2,2,1,4,1,2,1,4,2,5,2,2,5,3,5,5,4,1,5,1112,1111,1111,1111,1112,1111,1111,1111,1111,1111,1112,1111,1111,1112,1112,1112,1111,1112,1111,1112,4,5,3,3,3,3,NA,4,4,3,5,5,4,3,3,NA,4,3,4,5,3,3,3,0.75,0.5,0.75,0.5625
1.31e+08,0,NA,9,1,2,2,1,1,5,2,5,3,2,3,2,2,5,3,4,5,3,2,4,1111,1111,1111,1111,1111,1111,1111,1122,1111,1111,2111,1111,2111,1112,1112,1112,1111,1112,1111,2111,2,4,2,3,2,5,NA,3,4,2,4,4,5,5,3,NA,3,2,3,4,1,4,5,0.4375,0.583333333333332,0.65,0.875
1.34e+08,0,Parkrose MS,2,2,1,1,1,1,4,1,4,2,1,2,1,1,4,4,5,5,5,3,1,1112,1111,1111,1111,1111,1111,1111,1121,1111,1111,2111,1111,1111,1112,1112,1112,1111,1112,1111,1111,4,4,3,2,2,3,NA,2,1,3,3,4,3,3,3,NA,4,3,3,5,3,3,3,0.5625,0.333333333333332,0.65,0.375
1.35e+08,1,Parkrose MS,1,1,1,1,1,1,5,1,4,5,1,2,1,3,5,5,5,5,5,1,1,1111,1111,1111,1111,1111,1111,1111,1121,1111,1111,1111,1111,1112,1112,1112,1112,1111,1112,1111,1111,5,1,1,5,1,5,NA,5,1,5,5,5,1,4,1,NA,5,1,1,5,1,1,5,0.75,0.583333333333332,0.4,0.5
1.39e+08,1,Parkrose MS,1,2,2,1,2,1,1,2,3,4,1,4,2,1,4,2,2,4,1,1,5,2111,1111,1111,1111,1111,1111,1111,1111,1111,1111,1221,2111,1111,1112,2111,1111,1111,1111,1111,2211,3,5,3,4,3,2,NA,5,2,5,1,3,2,4,1,NA,1,3,1,1,3,1,3,0.625,0.666666666666668,0.05,0.25
1.42e+08,0,Parkrose MS,3,1,1,2,1,1,1,2,1,5,2,4,2,1,4,4,4,4,2,3,5,1112,1111,1111,1111,1111,1111,1111,1111,1111,1111,1112,2111,1111,1112,1111,1112,1111,1111,1112,1112,3,5,4,4,2,2,NA,4,2,2,1,4,3,3,3,NA,3,4,3,3,4,4,2,0.6875,0.5,0.5,0.375
1.43e+08,0,Parkrose MS,1,3,2,2,1,1,1,2,1,2,1,3,1,1,3,4,5,4,4,3,2,1112,1111,1111,1111,1111,1111,1111,1111,1111,1111,2111,1111,1111,1112,1112,1122,1111,2112,2211,1112,5,5,5,5,5,1,NA,5,3,4,5,5,3,4,5,NA,5,4,4,5,4,4,4,1,0.916666666666667,0.85,0.5
1.44e+08,1,NA,1,5,1,2,1,1,2,2,1,5,1,4,5,1,4,3,5,4,1,4,5,1112,1111,1111,1111,1111,1111,1111,2111,1111,1111,2111,2111,1111,1112,1121,1112,1111,1111,1112,1211,5,5,5,4,4,4,NA,5,4,4,3,3,4,5,3,NA,3,3,3,3,3,3,3,0.875,0.833333333333333,0.55,0.625
1.45e+08,0,Parkrose MS,3,3,2,2,1,4,4,2,4,3,2,4,2,1,3,4,5,5,3,2,5,1112,1111,1111,1111,1112,1111,1111,1112,1111,1111,1121,2111,1111,1112,1112,1112,1111,1111,1111,1112,5,4,3,4,4,1,NA,3,2,4,4,5,4,4,5,NA,4,4,4,3,4,3,3,0.75,0.75,0.75,0.3125
1.49e+08,0,Parkrose MS,3,1,2,2,1,1,5,2,3,4,1,5,3,1,4,2,5,5,3,2,4,1111,1111,1111,1111,1111,1111,1111,2111,1111,1111,2111,2111,1111,1112,1111,1112,1111,1111,1111,1112,5,5,3,4,4,3,NA,3,3,3,5,5,4,4,3,NA,5,3,4,5,3,3,3,0.75,0.75,0.8,0.5
1.53e+08,0,NA,2,2,2,2,1,1,3,2,1,1,1,3,2,1,4,4,4,5,4,2,5,2111,1111,1111,1111,1111,1111,1111,1111,1111,1111,2111,2111,1111,1112,1112,1112,1111,1112,1111,1112,5,3,4,3,4,2,NA,4,3,2,4,5,4,4,3,NA,4,2,3,3,4,2,3,0.875,0.666666666666668,0.6,0.375
1.54e+08,0,Parkrose MS,1,3,1,1,1,4,1,3,4,3,2,4,1,1,5,1,4,4,3,2,4,2111,1111,1111,1111,2111,1111,1111,1112,1111,1111,1112,1111,1111,1112,1111,1112,1111,1112,1111,2111,3,5,3,3,3,2,NA,3,2,4,5,4,3,3,2,NA,3,3,3,5,5,4,3,0.5625,0.5,0.55,0.4375
1.57e+08,1,Parkrose MS,2,1,1,2,1,1,1,2,1,5,1,5,5,1,1,1,5,5,1,3,5,1111,1111,1111,1111,1111,1111,1111,1112,1111,1111,1121,1112,1111,1112,1111,1112,1111,1111,1112,2111,4,3,3,3,3,3,NA,4,3,4,3,2,3,5,3,NA,4,3,3,3,3,1,3,0.5625,0.666666666666668,0.55,0.375
1.61e+08,1,Parkrose MS,1,1,1,2,1,4,5,2,1,1,2,3,1,1,5,5,3,5,2,1,4,1111,1111,1111,1111,2111,1111,1111,1111,1111,1111,1112,1111,1111,1112,1112,1112,1111,1112,1111,2111,4,4,3,3,4,1,NA,4,1,4,1,5,1,5,2,NA,2,2,2,NA,4,2,2,0.75,0.75,0.1875,0.125
1.68e+08,1,NA,3,4,1,1,1,1,1,2,1,2,1,5,1,3,5,5,5,5,4,5,5,1112,1111,1111,1111,1111,1111,1111,1111,1111,1111,2111,2111,1121,1112,2111,1122,1111,2111,1112,1112,5,5,5,4,5,4,NA,5,4,5,5,5,5,5,4,NA,5,4,5,5,4,5,5,1,0.916666666666667,0.95,0.875
1.71e+08,0,Parkrose MS,3,2,1,1,1,1,4,2,5,1,1,2,1,1,4,2,4,5,5,1,4,2111,1111,1111,1111,1111,1111,1111,1112,1111,1111,1111,1111,1111,1112,1112,1112,1111,1112,1111,1112,5,4,4,4,4,5,NA,4,5,3,4,5,4,5,3,NA,3,3,4,4,4,5,5,0.875,0.833333333333333,0.65,1
1.72e+08,1,Parkrose MS,1,3,1,1,1,1,3,2,1,1,2,2,4,3,5,3,5,5,3,3,2,1112,1111,1111,1111,1111,1111,1111,1111,1111,1111,1111,1112,1111,1112,1111,1112,1111,1111,1111,1111,5,4,2,2,2,2,NA,2,1,1,3,5,3,1,1,NA,3,5,2,2,4,2,2,0.625,0.166666666666668,0.3,0.1875
1.73e+08,1,Parkrose MS,1,3,1,2,1,1,4,2,5,3,2,1,3,1,1,1,3,4,2,1,1,2111,1111,1111,1111,1111,1111,1111,2121,1111,1111,1112,1112,1111,1112,1111,1112,1111,1111,1111,1111,3,4,3,4,5,4,NA,5,3,2,4,2,1,5,3,NA,3,3,3,2,3,4,5,0.5625,0.916666666666667,0.35,0.75
1.75e+08,0,NA,1,3,1,1,1,1,5,2,5,4,2,4,1,2,2,2,5,4,2,2,4,1112,1111,1111,1111,1111,1111,1111,2112,1111,1111,1112,1111,1112,1112,1112,1112,1111,1111,1111,2111,4,5,4,4,4,4,NA,4,3,5,5,4,5,5,3,NA,4,3,3,5,4,4,4,0.75,0.833333333333333,0.75,0.6875
1.76e+08,0,Parkrose MS,3,1,1,2,1,1,2,2,3,4,1,3,2,1,3,3,4,5,3,2,5,2111,1111,1111,1111,1111,1111,1111,1121,1111,1111,2111,2111,1111,1112,1112,1112,1111,1112,1112,2111,4,2,2,3,3,2,NA,3,2,3,4,5,3,3,3,NA,3,3,3,4,3,3,3,0.625,0.5,0.55,0.375
1.78e+08,0,Parkrose MS,1,3,2,1,1,1,1,2,5,5,1,4,3,1,3,3,3,4,3,4,5,2111,1111,1111,1111,1111,1111,1111,2221,1111,1111,2111,2111,1111,1112,1112,1112,1111,1112,1112,2111,4,4,4,4,3,5,NA,5,3,3,2,4,2,5,3,NA,4,4,3,2,5,2,3,0.8125,0.75,0.45,0.5625
1.8e+08,1,Parkrose MS,NA,1,1,2,1,1,2,2,5,1,1,1,1,1,3,2,2,5,1,1,5,1111,1111,1111,1111,1111,1111,1111,2111,1111,1111,1111,1111,1111,1112,1111,1111,1111,1111,1111,2111,1,1,1,1,5,1,NA,1,1,5,1,1,1,5,1,NA,5,1,5,1,1,1,1,0,0.666666666666668,0.4,0
1.82e+08,1,Parkrose MS,3,1,1,2,1,1,1,3,5,4,3,5,4,2,2,4,3,5,2,3,5,1111,1111,1111,1111,1111,1111,1111,2221,1111,1111,2221,2111,1111,1111,1112,1111,1111,1111,2111,2111,1,5,2,5,3,3,NA,1,3,5,1,2,1,3,1,NA,1,1,1,4,5,3,4,0.125,0.666666666666668,0.15,0.5625
1.83e+08,0,NA,1,2,1,1,1,1,2,2,1,2,2,3,1,2,5,1,5,5,1,1,1,1112,1111,1111,1111,1111,1111,1111,1111,1111,1111,1112,1111,1111,1112,1111,1112,1111,1111,1111,1111,3,4,3,1,2,1,NA,4,1,3,3,4,4,3,1,NA,3,1,4,4,1,4,3,0.625,0.25,0.55,0.3125
1.88e+08,1,Parkrose MS,1,3,1,2,2,1,2,2,4,4,1,3,2,2,5,5,4,5,3,2,1,2111,1111,1111,1111,1111,1111,1111,2111,1111,1111,2111,1111,1211,1112,1112,1112,1111,2111,1211,1111,5,5,3,5,4,2,NA,4,2,5,5,5,2,4,2,NA,3,3,2,4,3,2,2,0.8125,0.833333333333333,0.4,0.25
1.93e+08,1,Parkrose MS,3,3,2,1,1,4,5,1,3,4,2,1,1,1,5,5,5,3,4,5,5,2111,1111,1111,1111,1211,1111,1111,2111,1111,1111,1112,1112,1112,1121,1121,1121,1111,1112,1121,2121,5,5,4,5,4,1,NA,3,3,5,5,5,3,5,5,NA,5,3,3,5,4,5,5,0.8125,0.916666666666667,0.8,0.625
1.94e+08,1,Parkrose MS,2,1,1,3,1,1,2,1,1,3,1,4,1,1,2,3,5,5,1,1,1,1111,1111,1111,1111,1111,1111,1111,2111,1111,1111,1211,1111,1111,1112,1112,1112,1111,1111,1111,1111,3,5,2,3,3,3,NA,4,2,3,3,2,1,4,1,NA,4,2,3,2,3,1,2,0.4375,0.583333333333332,0.3,0.25
1.95e+08,1,Parkrose MS,3,1,1,2,1,1,1,1,1,3,1,1,1,1,2,2,5,5,2,1,5,1121,1111,1111,1111,1111,1111,1111,1111,1111,1111,1211,1111,1111,1121,1112,1111,1111,1111,1112,1111,4,4,4,3,2,1,NA,4,4,4,2,4,1,3,3,NA,2,3,3,1,3,3,1,0.75,0.416666666666668,0.25,0.3125
1.96e+08,0,Parkrose MS,3,1,1,1,1,1,2,1,4,3,1,3,1,1,1,3,4,5,1,1,1,1111,1111,1111,1111,1111,1111,1111,1121,1111,1111,1112,1111,1111,1111,1112,1112,1111,1111,1111,1111,4,5,5,5,4,1,NA,5,4,3,5,5,2,3,4,NA,5,4,3,5,2,1,4,0.9375,0.75,0.7,0.375
1.99e+08,0,Parkrose MS,2,2,2,1,1,1,3,2,5,5,1,5,2,3,4,2,5,5,4,2,1,2111,1111,1111,1111,1111,1111,1111,2221,1111,1111,2211,2111,2121,2111,2111,1221,1111,2111,2111,1111,4,5,4,5,4,5,NA,4,4,2,5,5,3,5,2,NA,5,4,2,5,4,4,3,0.8125,0.916666666666667,0.6,0.75
